# Log started: 2023-01-02 00:59:49 +0100
[2023-01-02 00:59:49] ~↪ »RERUN« #FFFiesta Day 26 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 00:59:49] Joining #sevensins..
[2023-01-02 00:59:49] You have joined #sevensins
[2023-01-02 00:59:49] VIEWERS: 29
[2023-01-02 01:01:30] VIEWERS: 29
[2023-01-02 01:03:30] VIEWERS: 29
[2023-01-02 01:05:31] VIEWERS: 28
[2023-01-02 01:07:31] VIEWERS: 28
[2023-01-02 01:09:33] VIEWERS: 20
[2023-01-02 01:11:33] VIEWERS: 20
[2023-01-02 01:13:33] VIEWERS: 19
[2023-01-02 01:15:37] VIEWERS: 19
[2023-01-02 01:17:37] VIEWERS: 20
[2023-01-02 01:19:37] VIEWERS: 20
[2023-01-02 01:21:37] VIEWERS: 22
[2023-01-02 01:23:39] VIEWERS: 22
[2023-01-02 01:25:41] VIEWERS: 21
[2023-01-02 01:27:42] VIEWERS: 21
[2023-01-02 01:29:42] VIEWERS: 21
[2023-01-02 01:31:45] Viewerstats (01:01-01:31): avg:22 min:19 max:29 [16/29+0−1+0−8+0−1+0+1+0+2+0−1+0+0+0]
[2023-01-02 01:31:45] VIEWERS: 21
[2023-01-02 01:33:46] VIEWERS: 21
[2023-01-02 01:35:46] VIEWERS: 23
[2023-01-02 01:37:47] VIEWERS: 23
[2023-01-02 01:39:47] VIEWERS: 23
[2023-01-02 01:41:47] VIEWERS: 39
[2023-01-02 01:43:50] VIEWERS: 39
[2023-01-02 01:45:51] VIEWERS: 39
[2023-01-02 01:47:51] VIEWERS: 41
[2023-01-02 01:49:52] VIEWERS: 41
[2023-01-02 01:51:53] VIEWERS: 41
[2023-01-02 01:53:56] VIEWERS: 36
[2023-01-02 01:55:57] VIEWERS: 36
[2023-01-02 01:57:57] VIEWERS: 36
[2023-01-02 01:59:57] VIEWERS: 37
[2023-01-02 02:01:57] Viewerstats (01:33-02:01): avg:34 min:21 max:41 [15/21+2+0+0+16+0+0+2+0+0−5+0+0+1+0]
[2023-01-02 02:01:57] VIEWERS: 37
[2023-01-02 02:03:57] VIEWERS: 37
[2023-01-02 02:05:57] VIEWERS: 39
[2023-01-02 02:07:57] VIEWERS: 39
[2023-01-02 02:09:57] VIEWERS: 39
[2023-01-02 02:10:28] <%$Quadradic> !op
[2023-01-02 02:11:57] VIEWERS: 48
[2023-01-02 02:13:57] VIEWERS: 48
[2023-01-02 02:15:57] VIEWERS: 48
[2023-01-02 02:16:31] <@%$Quadradic> !deop
[2023-01-02 02:16:55] <%$Quadradic> Everyone enjoy the rerun. Seven should be live in about 7 hours
[2023-01-02 02:17:57] VIEWERS: 48
[2023-01-02 02:19:57] VIEWERS: 49
[2023-01-02 02:21:58] VIEWERS: 49
[2023-01-02 02:24:00] VIEWERS: 51
[2023-01-02 02:26:02] VIEWERS: 51
[2023-01-02 02:28:02] VIEWERS: 48
[2023-01-02 02:30:02] VIEWERS: 48
[2023-01-02 02:32:02] Viewerstats (02:03-02:32): avg:46 min:37 max:51 [15/37+2+0+0+9+0+0+0+1+0+2+0−3+0+0]
[2023-01-02 02:32:02] VIEWERS: 48
[2023-01-02 02:34:03] VIEWERS: 48
[2023-01-02 02:36:05] VIEWERS: 50
[2023-01-02 02:38:06] VIEWERS: 50
[2023-01-02 02:40:07] VIEWERS: 47
[2023-01-02 02:42:07] VIEWERS: 40
[2023-01-02 02:44:10] VIEWERS: 40
[2023-01-02 02:46:10] VIEWERS: 40
[2023-01-02 02:48:12] VIEWERS: 46
[2023-01-02 02:50:14] VIEWERS: 46
[2023-01-02 02:52:15] VIEWERS: 46
[2023-01-02 02:54:15] VIEWERS: 50
[2023-01-02 02:56:16] VIEWERS: 50
[2023-01-02 02:58:17] VIEWERS: 50
[2023-01-02 03:00:17] VIEWERS: 49
[2023-01-02 03:02:19] Viewerstats (02:34-03:02): avg:46 min:40 max:50 [15/48+2+0−3−7+0+0+6+0+0+4+0+0−1+0]
[2023-01-02 03:02:19] VIEWERS: 49
[2023-01-02 03:04:19] VIEWERS: 48
[2023-01-02 03:06:19] VIEWERS: 48
[2023-01-02 03:08:21] VIEWERS: 45
[2023-01-02 03:10:23] VIEWERS: 45
[2023-01-02 03:12:23] VIEWERS: 42
[2023-01-02 03:14:24] VIEWERS: 42
[2023-01-02 03:16:25] VIEWERS: 42
[2023-01-02 03:18:27] VIEWERS: 43
[2023-01-02 03:20:28] VIEWERS: 43
[2023-01-02 03:22:28] VIEWERS: 42
[2023-01-02 03:24:28] VIEWERS: 49
[2023-01-02 03:26:29] VIEWERS: 49
[2023-01-02 03:28:29] VIEWERS: 49
[2023-01-02 03:29:42] <%neSTea_D> !fff
[2023-01-02 03:29:42] <@%^GilgamEXP> Welcome to the Final Fantasy Fiesta! A race through the Final Fantasy series together with twitch.tv/bgg02 where we're not allowed to escape any battles or skip any cutscenes! Check out our site @ https://fffiesta.com & join our Discord @ https://www.fffiesta.com/discord !
[2023-01-02 03:30:30] VIEWERS: 53
[2023-01-02 03:32:33] Viewerstats (03:04-03:32): avg:46 min:42 max:53 [15/48+0−3+0−3+0+0+1+0−1+7+0+0+4+0]
[2023-01-02 03:32:33] VIEWERS: 53
[2023-01-02 03:34:33] VIEWERS: 53
[2023-01-02 03:36:33] VIEWERS: 46
[2023-01-02 03:38:38] VIEWERS: 51
[2023-01-02 03:40:38] VIEWERS: 51
[2023-01-02 03:42:40] VIEWERS: 49
[2023-01-02 03:44:43] VIEWERS: 49
[2023-01-02 03:46:44] VIEWERS: 49
[2023-01-02 03:48:45] VIEWERS: 49
[2023-01-02 03:50:46] VIEWERS: 51
[2023-01-02 03:52:46] VIEWERS: 51
[2023-01-02 03:54:46] VIEWERS: 54
[2023-01-02 03:56:48] VIEWERS: 54
[2023-01-02 03:58:48] VIEWERS: 53
[2023-01-02 04:00:48] VIEWERS: 53
[2023-01-02 04:00:56] <dragoonman3800> Happy new year Steven
[2023-01-02 04:02:48] Viewerstats (03:34-04:02): avg:51 min:46 max:54 [15/53−7+5+0−2+0+0+0+2+0+3+0−1+0+0]
[2023-01-02 04:02:48] VIEWERS: 53
[2023-01-02 04:04:51] VIEWERS: 52
[2023-01-02 04:06:52] VIEWERS: 52
[2023-01-02 04:08:53] VIEWERS: 56
[2023-01-02 04:10:53] VIEWERS: 56
[2023-01-02 04:12:53] VIEWERS: 56
[2023-01-02 04:14:53] VIEWERS: 53
[2023-01-02 04:16:53] VIEWERS: 53
[2023-01-02 04:18:53] VIEWERS: 53
[2023-01-02 04:20:53] VIEWERS: 53
[2023-01-02 04:22:54] VIEWERS: 55
[2023-01-02 04:24:56] VIEWERS: 55
[2023-01-02 04:26:18] <dragoonman3800> Happy new year to you Steven
[2023-01-02 04:26:58] VIEWERS: 58
[2023-01-02 04:28:59] VIEWERS: 58
[2023-01-02 04:30:58] VIEWERS: 58
[2023-01-02 04:32:58] Viewerstats (04:04-04:32): avg:55 min:52 max:58 [15/52+0+4+0+0−3+0+0+0+2+0+3+0+0+0]
[2023-01-02 04:32:58] VIEWERS: 58
[2023-01-02 04:34:58] VIEWERS: 54
[2023-01-02 04:36:58] VIEWERS: 56
[2023-01-02 04:38:58] VIEWERS: 56
[2023-01-02 04:40:58] VIEWERS: 56
[2023-01-02 04:42:58] VIEWERS: 54
[2023-01-02 04:44:58] VIEWERS: 54
[2023-01-02 04:46:58] VIEWERS: 54
[2023-01-02 04:49:02] VIEWERS: 53
[2023-01-02 04:51:02] VIEWERS: 53
[2023-01-02 04:51:54] <%monsturmun> Is a Rerun he is live in 4 hours
[2023-01-02 04:53:03] VIEWERS: 54
[2023-01-02 04:55:04] VIEWERS: 54
[2023-01-02 04:57:04] VIEWERS: 56
[2023-01-02 04:59:04] VIEWERS: 56
[2023-01-02 05:01:08] VIEWERS: 56
[2023-01-02 05:03:09] Viewerstats (04:34-05:03): avg:54 min:53 max:56 [15/54+2+0+0−2+0+0−1+0+1+0+2+0+0+0]
[2023-01-02 05:03:09] VIEWERS: 56
[2023-01-02 05:05:09] VIEWERS: 53
[2023-01-02 05:07:12] VIEWERS: 55
[2023-01-02 05:09:13] VIEWERS: 55
[2023-01-02 05:11:14] VIEWERS: 52
[2023-01-02 05:13:14] VIEWERS: 52
[2023-01-02 05:15:14] VIEWERS: 52
[2023-01-02 05:17:14] VIEWERS: 55
[2023-01-02 05:19:14] VIEWERS: 55
[2023-01-02 05:21:14] VIEWERS: 52
[2023-01-02 05:23:14] VIEWERS: 52
[2023-01-02 05:25:14] VIEWERS: 52
[2023-01-02 05:27:14] VIEWERS: 53
[2023-01-02 05:29:14] VIEWERS: 53
[2023-01-02 05:31:14] VIEWERS: 53
[2023-01-02 05:33:14] Viewerstats (05:05-05:33): avg:53 min:52 max:55 [15/53+2+0−3+0+0+3+0−3+0+0+1+0+0+0]
[2023-01-02 05:33:14] VIEWERS: 53
[2023-01-02 05:35:14] VIEWERS: 52
[2023-01-02 05:37:14] VIEWERS: 52
[2023-01-02 05:39:14] VIEWERS: 52
[2023-01-02 05:41:14] VIEWERS: 57
[2023-01-02 05:43:14] VIEWERS: 59
[2023-01-02 05:45:14] VIEWERS: 59
[2023-01-02 05:47:14] VIEWERS: 59
