# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 00:01:19] VIEWERS: 63
[2023-01-03 00:03:19] VIEWERS: 60
[2023-01-03 00:05:22] VIEWERS: 60
[2023-01-03 00:07:23] VIEWERS: 63
[2023-01-03 00:09:24] Viewerstats (23:41-00:09): avg:61 min:57 max:64 [15/64−2+0−2+0−3+0+5+0+1+0−3+0+3+0]
[2023-01-03 00:09:24] VIEWERS: 63
[2023-01-03 00:11:24] VIEWERS: 64
[2023-01-03 00:13:28] VIEWERS: 64
[2023-01-03 00:15:29] VIEWERS: 64
[2023-01-03 00:17:29] VIEWERS: 57
[2023-01-03 00:19:29] VIEWERS: 57
[2023-01-03 00:21:29] VIEWERS: 57
[2023-01-03 00:23:31] VIEWERS: 61
[2023-01-03 00:24:57] <r4gg4r1> i havent played this game in ages
[2023-01-03 00:25:34] VIEWERS: 61
[2023-01-03 00:27:34] VIEWERS: 61
[2023-01-03 00:29:34] VIEWERS: 62
[2023-01-03 00:31:34] VIEWERS: 57
[2023-01-03 00:33:34] VIEWERS: 57
[2023-01-03 00:35:34] VIEWERS: 57
[2023-01-03 00:37:34] VIEWERS: 60
[2023-01-03 00:39:35] Viewerstats (00:11-00:39): avg:59 min:57 max:64 [15/64+0+0−7+0+0+4+0+0+1−5+0+0+3+0]
[2023-01-03 00:39:35] VIEWERS: 60
[2023-01-03 00:41:39] VIEWERS: 59
[2023-01-03 00:43:39] VIEWERS: 59
[2023-01-03 00:45:39] VIEWERS: 63
[2023-01-03 00:47:40] VIEWERS: 63
[2023-01-03 00:49:41] VIEWERS: 62
[2023-01-03 00:51:43] VIEWERS: 62
[2023-01-03 00:53:44] VIEWERS: 62
[2023-01-03 00:55:46] VIEWERS: 65
[2023-01-03 00:57:49] VIEWERS: 65
[2023-01-03 00:59:49] VIEWERS: 55
[2023-01-03 01:01:53] VIEWERS: 55
[2023-01-03 01:03:54] VIEWERS: 53
[2023-01-03 01:05:55] VIEWERS: 53
[2023-01-03 01:07:55] VIEWERS: 51
[2023-01-03 01:09:55] Viewerstats (00:41-01:09): avg:58 min:51 max:65 [15/59+0+4+0−1+0+0+3+0−10+0−2+0−2+0]
[2023-01-03 01:09:55] VIEWERS: 51
[2023-01-03 01:11:55] VIEWERS: 50
[2023-01-03 01:11:58] <+theaquatop> !Fiesta
